date,stock_type,close_percentage,open_percentage
2020-01-09,spx,-5.020871349638123,-5.326426567477447
2020-01-08,spx,-5.648803340548908,-6.121837903076219
2020-01-07,spx,-6.109098917097371,-6.027048684532437
2020-01-06,spx,-5.845160431461603,-6.731732994468128
2020-01-03,spx,-6.17667323078579,-6.476352694306044
2020-01-02,spx,-5.509583118246906,-5.945599594177024
2019-12-31,spx,-6.2947211594769374,-6.800436423886006
2019-12-30,spx,-6.569968057452683,-6.078356869872322
2019-12-27,spx,-6.026725240985312,-5.871390265697846
2019-12-26,spx,-6.029918787613571,-6.452007844986153
2019-12-24,spx,-6.509354400827632,-6.502735717057368
2019-12-23,spx,-6.491078250389634,-6.4853404729793755
2019-12-20,spx,-6.572000314397938,-6.564185230616847
2019-12-19,spx,-7.031708165070246,-7.463083406798399
2019-12-18,spx,-7.444440431858141,-7.379313063368298
2019-12-17,spx,-7.404411342967789,-7.373807164306998
2019-12-16,spx,-7.435447517849518,-7.714988904339533
2019-12-13,spx,-8.092383426696776,-8.207193634048366
2019-12-12,spx,-8.099053761339391,-8.944049945439938
2019-12-11,spx,-8.880424692134316,-9.102900087252223
2019-12-10,spx,-9.144646419156182,-9.114202042009161
2019-12-09,spx,-9.04487464090303,-8.92578423145894
2019-12-06,spx,-8.756287073642053,-9.135652401976774
2019-12-05,spx,-9.582318089990038,-9.58235207903244
2019-12-04,spx,-9.717764120822277,-10.037742301136019
2019-12-03,spx,-10.285082455108011,-10.504151398353283
2019-12-02,spx,-9.685566656257546,-8.868099677154744
2019-11-29,spx,-8.899274406379162,-8.771576595796027
2019-11-27,spx,-8.532377676896639,-8.820563528061225
2019-11-26,spx,-8.912615075664396,-9.12898587637813
2019-11-25,spx,-9.11216571320535,-9.633660264372326
2019-11-22,spx,-9.789402948401209,-9.808454867090923
2019-11-21,spx,-9.985179394472404,-9.89309568042403
2019-11-20,spx,-9.842482384156042,-9.714245961815811
2019-11-19,spx,-9.502557315664735,-9.343496553045338
2019-11-18,spx,-9.448897235068399,-9.620037056540701
2019-11-15,spx,-9.494435368918365,-9.909620454599015
2019-11-14,spx,-10.185600999275609,-10.407331083369149
2019-11-13,spx,-10.260716614868898,-10.597779990359722
2019-11-12,spx,-10.324523818122207,-10.44994164667004
2019-11-11,spx,-10.464615007686463,-10.709377062721744
2019-11-08,spx,-10.288559243122368,-10.682710960327165
2019-11-07,spx,-10.517694443441297,-10.515453353110221
2019-11-06,spx,-10.761324521693812,-10.860980365666714
2019-11-05,spx,-10.823970435264119,-10.69575385489012
2019-11-04,spx,-10.718108967209853,-10.749093136670357
2019-11-01,spx,-11.047596590623437,-11.567695772042757
2019-10-31,spx,-11.898857333438134,-11.678429451492853
2019-10-30,spx,-11.63173238220876,-11.885976368936001
2019-10-29,spx,-11.918294773559133,-12.012074196023736
2019-10-28,spx,-11.844914011455698,-12.106856337576438
2019-10-25,spx,-12.334206424905982,-12.941693590489486
2019-10-24,spx,-12.68979474204853,-12.609499629130283
2019-10-23,spx,-12.857147915024752,-13.211567568386204
2019-10-22,spx,-13.104552184747027,-12.726899834179022
2019-10-21,spx,-12.793340711771442,-13.139969649616049
2019-10-18,spx,-13.388501674310643,-13.129531087771037
2019-10-17,spx,-13.047705638557083,-13.015612762334328
2019-10-16,spx,-13.287278283953738,-13.337085082205267
2019-10-15,spx,-13.11354509875565,-13.802906789162778
2019-10-14,spx,-13.970031645143862,-14.02900957722126
2019-10-11,spx,-13.850532104348959,-14.108434648127405
2019-10-10,spx,-14.782721992206612,-15.398952279778369
2019-10-09,spx,-15.325964808673984,-15.614906662626177
2019-10-08,spx,-16.089923475258512,-15.345329918354878
2019-10-07,spx,-14.763574874506363,-14.654558972885145
2019-10-04,spx,-14.380143929110345,-15.398662123144033
2019-10-03,spx,-15.580329735459628,-16.360467673047825
2019-10-02,spx,-16.247993411805357,-15.218361621364135
2019-10-01,spx,-14.721230287284657,-13.510719058386522
2019-09-30,spx,-13.662877605024134,-13.992485226250343
2019-09-27,spx,-14.09648476196748,-13.459120716412299
2019-09-26,spx,-13.63735047510202,-13.451583720910648
2019-09-25,spx,-13.42707207006259,-13.955380562010756
2019-09-24,spx,-13.956974217244728,-12.967496299972137
2019-09-23,spx,-13.226657546294035,-13.516224957447823
2019-09-20,spx,-13.218245277126913,-12.793862323790883
2019-09-19,spx,-12.791308454826186,-12.737621475667288
2019-09-18,spx,-12.793050389350691,-12.994452559001052
2019-09-17,spx,-12.822925274549416,-13.163451106024013
2019-09-16,spx,-13.047415316136332,-13.1420007460564
2019-09-13,spx,-12.773910352685093,-12.683999114243797
2019-09-12,spx,-12.71067671323863,-12.774726139906878
2019-09-11,spx,-12.961274529589165,-13.576811078095375
2019-09-10,spx,-13.586020054906342,-13.8782767441793
2019-09-09,spx,-13.613862683159814,-13.373319276541848
2019-09-06,spx,-13.605740736413441,-13.608112609648245
2019-09-05,spx,-13.684340221055741,-14.180032566897557
2019-09-04,spx,-14.792869114863588,-15.221553344341828
2019-09-03,spx,-15.706782852283244,-15.675492783273729
2019-08-30,spx,-15.121195448594166,-14.861525577059624
2019-08-29,spx,-15.175719415418104,-15.636066865959453
2019-08-28,spx,-16.238426933989885,-17.05905869366246
2019-08-27,spx,-16.783121362561012,-16.135525511526687
2019-08-26,spx,-16.515706088910886,-16.901949491656193
2019-08-23,spx,-17.422652088232525,-15.615777132529185
2019-08-22,spx,-15.222999483792574,-15.03980205939025
2019-08-21,spx,-15.180074251729367,-15.297786692270277
2019-08-20,spx,-15.873845702838715,-15.38561922858108
2019-08-19,spx,-15.202698157443972,-15.545920153565046
2019-08-16,spx,-16.216964317958283,-16.95876357605738
2019-08-15,spx,-17.40844045168504,-17.496190278776126
2019-08-14,spx,-17.61146787724035,-16.106247999423083
2019-08-13,spx,-15.125252881450027,-16.49554620181781
2019-08-12,spx,-16.37909168736099,-15.731726554406244
2019-08-09,spx,-15.347717747126339,-15.052264640684532
2019-08-08,spx,-14.783876200854964,-16.04653234867854
2019-08-07,spx,-16.353281316052776,-17.135299118581994
2019-08-06,spx,-16.417378841726837,-17.061960260005822
2019-08-05,spx,-17.4913947726386,-15.99261275362963
2019-08-02,spx,-14.959060998156806,-14.664127064827149
2019-08-01,spx,-14.335186440101882,-13.608402766282582
2019-07-31,spx,-13.55730645939062,-12.567759535732401
2019-07-30,spx,-12.60597653486737,-12.815892997027166
2019-07-29,spx,-12.380034881176698,-12.328613853110964
2019-07-26,spx,-12.238201757087937,-12.653851132237188
2019-07-25,spx,-12.881804077684613,-12.566598909195056
2019-07-24,spx,-12.42092785629465,-13.073587473272857
2019-07-23,spx,-12.829595609192031,-13.190407365052925
2019-07-22,spx,-13.42243399236523,-13.561737087092071
2019-07-19,spx,-13.666644715459245,-12.914447174826238
2019-07-18,spx,-13.13007223363449,-13.6504330163148
2019-07-17,spx,-13.440129497961726,-12.890095248515266
2019-07-16,spx,-12.871069229151486,-12.686320367318482
2019-07-15,spx,-12.573488747881886,-12.521957249453816
2019-07-12,spx,-12.588861674112376,-12.940532963952142
2019-07-11,spx,-12.99085909236714,-13.048945390327551
2019-07-10,spx,-13.18924135919044,-13.348096880327867
2019-07-09,spx,-13.579059397842974,-14.037417042625922
2019-07-08,spx,-13.685791833159493,-13.624347227188894
2019-07-05,spx,-13.266396312763638,-13.494484440845872
2019-07-03,spx,-13.109480584865137,-13.673334159454093
2019-07-02,spx,-13.771061652444407,-14.062349282205563
2019-07-01,spx,-14.022813677443294,-13.866684632788026
2019-06-28,spx,-14.677434087959195,-14.98182734845172
2019-06-27,spx,-15.16586261518188,-15.366780278322489
2019-06-26,spx,-15.488963145338944,-15.180966800490209
2019-06-25,spx,-15.384553289388434,-14.60962715650957
2019-06-24,spx,-14.573307473394784,-14.44614158553899
2019-06-21,spx,-14.42510141811881,-14.408746764665064
2019-06-20,spx,-14.317207693119288,-14.498893477059474
2019-06-19,spx,-15.121195448594166,-15.34097756883984
2019-06-18,spx,-15.373818440855306,-15.742165116251256
2019-06-17,spx,-16.18825072244256,-16.233789532691418
2019-06-14,spx,-16.26626956224336,-16.318720502658863
2019-06-13,spx,-16.131113853831867,-16.33553543346818
2019-06-12,spx,-16.47335442065453,-16.437281334244943
2019-06-11,spx,-16.3028147820847,-15.841879920587667
2019-06-10,spx,-16.273520541727475,-16.34741770149379
2019-06-07,spx,-16.661879887241604,-17.30283980544219
2019-06-06,spx,-17.52764967005919,-18.008974898549564
2019-06-05,spx,-18.03058015625011,-18.31102087790216
2019-06-04,spx,-18.694186399739984,-19.91837540026577
2019-06-03,spx,-20.40019883545304,-20.240420956414297
2019-05-31,spx,-20.179475904301235,-19.816629499489004
2019-05-30,spx,-19.11213030803209,-19.213981246964412
2019-05-29,spx,-19.281515737953566,-19.118031401883286
2019-05-28,spx,-18.719713529662098,-17.964913552076993
2019-05-24,spx,-18.033185977002216,-17.895927043015863
2019-05-23,spx,-18.143982926209247,-17.771570155734143
2019-05-22,spx,-17.156978749106905,-17.210371839973096
2019-05-21,spx,-16.922334503828363,-17.26950717744897
2019-05-20,spx,-17.622202725773477,-17.619676696154837
2019-05-17,spx,-17.062425693392615,-17.136742824762592
2019-05-16,spx,-16.575448778273685,-17.21790883547475
2019-05-15,spx,-17.310991252797894,-18.24464577855005
2019-05-14,spx,-17.791007510853458,-18.252175697060622
2019-05-13,spx,-18.444749873072457,-17.67040456822605
2019-05-10,spx,-16.428113690259966,-17.006299725150896
2019-05-09,spx,-16.737873551131795,-17.100798787060345
2019-05-08,spx,-16.48554088129141,-16.52771820327369
2019-05-07,spx,-16.35124905910752,-15.558963048127996
2019-05-06,spx,-14.946881618554578,-15.67897466288576
2019-05-03,spx,-14.564902285262313,-15.089949618192794
2019-05-02,spx,-15.380488775497922,-15.294311889649329
2019-05-01,spx,-15.200375578077965,-14.419758562787665
2019-04-30,spx,-14.559386159268048,-14.860081870879025
2019-04-29,spx,-14.640598545697102,-14.76035998955153
2019-04-26,spx,-14.731965135817784,-15.188503795991862
2019-04-25,spx,-15.12960771776129,-15.0963259871571
2019-04-24,spx,-15.098281220458809,-14.951099053176439
2019-04-23,spx,-14.91178801081699,-15.647085741073136
2019-04-22,spx,-15.657477607998171,-15.972032863565024
2019-04-18,spx,-15.742747427283085,-15.797238260846427
2019-04-17,spx,-15.87558763736322,-15.471710825085866
2019-04-16,spx,-15.683868624147888,-15.581283877998619
2019-04-15,spx,-15.726793856211094,-15.695492360069663
2019-04-12,spx,-15.673721501490911,-15.911736899551807
2019-04-11,spx,-16.22740176303601,-16.17088923596026
2019-04-10,spx,-16.230595309664267,-16.47670017456814
2019-04-09,spx,-16.52092481144975,-16.32567718489184
2019-04-08,spx,-16.011323990616212,-16.271184353565342
2019-04-05,spx,-16.099206711687884,-16.3958313974814
2019-04-04,spx,-16.486411848553665,-16.690630537966676
2019-04-03,spx,-16.660145033751753,-16.629754260684788
2019-04-02,spx,-16.838806619067952,-16.85730783191495
2019-04-01,spx,-16.840258231171706,-17.425752986543312
2019-03-29,spx,-17.791297833274207,-18.015931580782542
2019-03-28,spx,-18.341210984384194,-18.562926375443293
2019-03-27,spx,-18.63327533965953,-18.263774885442977
2019-03-26,spx,-18.25361858573327,-18.468427313533848
2019-03-25,spx,-18.836593087635592,-18.951063951300675
2019-03-22,spx,-18.76843812910567,-17.54488705440699
2019-03-21,spx,-17.197298160418008,-18.263774885442977
2019-03-20,spx,-18.08626541275705,-17.926938417934398
2019-03-19,spx,-17.84437018799439,-17.65387979405107
2019-03-18,spx,-17.833642420495913,-18.179997465021795
2019-03-15,spx,-18.137022269145877,-18.52262998822601
2019-03-14,spx,-18.543077120256505,-18.5345193332427
2019-03-13,spx,-18.472309259939827,-18.84178105502226
2019-03-12,spx,-19.034982435493543,-19.202382058582057
2019-03-11,spx,-19.273393791207198,-20.354049125216672
2019-03-08,spx,-20.44022084330874,-20.841618425767212
2019-03-07,spx,-20.27026184958041,-19.805610624375323
2019-03-06,spx,-19.617093051168265,-19.117451088614615
2019-03-05,spx,-19.089223160931382,-18.997446550847933
2019-03-04,spx,-18.997566248389948,-18.418852991008894
2019-03-01,spx,-18.682007020137757,-18.887003028032172
2019-02-28,spx,-19.238880828311107,-19.180061228711438
2019-02-27,spx,-19.010043031447584,-19.197746629423765
2019-02-26,spx,-18.96595650970137,-19.056864967967062
2019-02-25,spx,-18.901851902992657,-18.70930685897022
2019-02-22,spx,-19.00163076228046,-19.39573253191599
2019-02-21,spx,-19.517611595335865,-19.408195113210272
2019-02-20,spx,-19.232791138509995,-19.44268836774084
2019-02-19,spx,-19.376068793667855,-19.725895396834844
2019-02-15,spx,-19.496722543111108,-19.987942222595574
2019-02-14,spx,-20.363072970770197,-20.473190270071427
2019-02-13,spx,-20.15134295362701,-20.27607483748221
2019-02-12,spx,-20.39207688870667,-21.078733011948298
2019-02-11,spx,-21.405181759537978,-21.374699855962
2019-02-08,spx,-21.460874097079568,-21.955600514893565
2019-02-07,spx,-21.51394645179975,-21.22599104236931
2019-02-06,spx,-20.77260460989518,-20.718132008388498
2019-02-05,spx,-20.595975281524233,-20.912636031268693
2019-02-04,spx,-20.968090733545623,-21.54601257906857
2019-02-01,spx,-21.500025137673013,-21.666887586738255
2019-01-31,spx,-21.570502675568942,-22.154747043923134
2019-01-30,spx,-22.23904440021158,-23.078570382693247
2019-01-29,spx,-23.429656647710736,-23.331636506771723
2019-01-28,spx,-23.317988731241453,-23.32931525369704
2019-01-25,spx,-22.711519356362274,-22.967843780234233
2019-01-24,spx,-23.362075252987665,-23.50700434576791
2019-01-23,spx,-23.467363157235084,-23.372506130266597
2019-01-22,spx,-23.635587297473556,-22.955091042305618
2019-01-18,spx,-22.53894746084719,-23.146693498842453
2019-01-17,spx,-23.546833609139632,-24.36387227191725
2019-01-16,spx,-24.122847453978586,-24.205312286739296
2019-01-15,spx,-24.291071594217062,-25.06478454560657
2019-01-14,spx,-25.09418838242969,-25.203635110622923
2019-01-11,spx,-24.698287735010688,-24.977532322564443
2019-01-10,spx,-24.68726964509146,-25.40075054321214
2019-01-09,spx,-25.02603342389977,-25.212622889296256
2019-01-08,spx,-25.33202617433649,-25.55727943194974
2019-01-07,spx,-26.049002176001952,-26.499368484700852
2019-01-04,spx,-26.563821719374346,-28.275714477096344
