date,cryptotype,close_percentage,open_percentage
2020-09-18,Doge,-99.20939865792862,-99.20986111566943
2020-09-17,Doge,-99.20372111284452,-99.21380192251894
2020-09-16,Doge,-99.20712761345675,-99.20704620682035
2020-09-15,Doge,-99.20003066557774,-99.21042409743924
2020-09-14,Doge,-99.20315335172656,-99.22140211087226
2020-09-13,Doge,-99.2150762030127,-99.20845366124489
2020-09-12,Doge,-99.20286947116757,-99.21717981313785
2020-09-11,Doge,-99.21110194128252,-99.2228095652968
2020-09-10,Doge,-99.21649560580762,-99.21408341340386
2020-09-09,Doge,-99.2079792551337,-99.23913590554307
2020-09-08,Doge,-99.23324442659649,-99.2194317402171
2020-09-07,Doge,-99.21280522463643,-99.21774279490766
2020-09-06,Doge,-99.21195358295947,-99.2301282627652
2020-09-05,Doge,-99.22359255368663,-99.18171222379623
2020-09-04,Doge,-99.17419773299697,-99.21323894074912
2020-09-03,Doge,-99.2042888739625,-99.13385916659705
2020-09-02,Doge,-99.12366739007139,-99.09473219575162
2020-09-01,Doge,-99.08704706234482,-99.09163586155684
2020-08-31,Doge,-99.08307280061464,-99.07587243754118
2020-08-30,Doge,-99.06745943596611,-99.06545740587799
2020-08-29,Doge,-99.05752374859287,-99.0800948008148
2020-08-28,Doge,-99.07143376379189,-99.09557666840635
2020-08-27,Doge,-99.08818258458076,-99.07165013980676
2020-08-26,Doge,-99.06291741311797,-99.07587243754118
2020-08-25,Doge,-99.06916271932002,-99.04265677527884
2020-08-24,Doge,-99.03424567494737,-99.04603466589774
2020-08-23,Doge,-99.02856812986329,-99.04124932085429
2020-08-22,Doge,-99.03566507774228,-99.04913100009252
2020-08-21,Doge,-99.04191038394434,-99.02492298060803
2020-08-20,Doge,-99.01522580968663,-99.04659764766754
2020-08-19,Doge,-99.03481343606533,-99.02295260995288
2020-08-18,Doge,-99.01125154795645,-98.96299544470264
2020-08-17,Doge,-98.95845016055898,-99.01338198540519
2020-08-16,Doge,-99.0047223611954,-99.00550030616697
2020-08-15,Doge,-98.99677377163944,-99.01141154921083
2020-08-14,Doge,-99.00216743616456,-99.03027130742129
2020-08-13,Doge,-99.01607745136359,-99.01929322844907
2020-08-12,Doge,-99.0084127423666,-99.05025696363214
2020-08-11,Doge,-99.04418142841621,-99.00099645200844
2020-08-10,Doge,-98.99478660772655,-99.01873024667924
2020-08-09,Doge,-99.00983214516152,-99.02013770110378
2020-08-08,Doge,-99.01153542851543,-99.01675981048488
2020-08-07,Doge,-99.00812886180762,-98.98692203884144
2020-08-06,Doge,-98.97690226470176,-99.02267111906797
2020-08-05,Doge,-99.01494192912764,-98.99424073630985
2020-08-04,Doge,-98.98513473481671,-99.04800510209209
2020-08-03,Doge,-99.03850388333213,-99.04603466589774
2020-08-02,Doge,-99.03424567494737,-98.98523309353199
2020-08-01,Doge,-98.97150853408107,-99.08234672789408
2020-07-31,Doge,-99.07171764435088,-99.09979903167996
2020-07-30,Doge,-99.0927246735245,-99.10936959068844
2020-07-29,Doge,-99.10237648033878,-99.08572455297376
2020-07-28,Doge,-99.08278892005566,-99.10739922003329
2020-07-27,Doge,-99.10407976369268,-99.1003620134498
2020-07-26,Doge,-99.09130527072959,-99.08713200739831
2020-07-25,Doge,-99.07909847278887,-99.0837541167794
2020-07-24,Doge,-99.07540809161766,-99.09501368663653
2020-07-23,Doge,-99.08875034569873,-99.08037629169971
2020-07-22,Doge,-99.06973048043798,-99.0905098980172
2020-07-21,Doge,-99.08136951726074,-99.08459858943414
2020-07-20,Doge,-99.07881459222989,-99.05673125398505
2020-07-19,Doge,-99.0427620256213,-99.00268539731789
2020-07-18,Doge,-98.99421884660859,-99.04124932085429
2020-07-17,Doge,-99.03509731662432,-99.15384482280793
2020-07-16,Doge,-99.14439053868604,-99.13779997344656
2020-07-15,Doge,-99.12906105459649,-99.10205089322004
2020-07-14,Doge,-99.08676318178584,-99.11894021523612
2020-07-13,Doge,-99.11032506989473,-99.0136634762901
2020-07-12,Doge,-99.00046415281065,-98.92977978244029
2020-07-11,Doge,-98.91813945166122,-99.00972260390138
2020-07-10,Doge,-99.00018027225167,-98.85237037894338
2020-07-09,Doge,-98.84376327397217,-98.77552395721627
2020-07-08,Doge,-98.76484513953055,-98.90472729030108
2020-07-07,Doge,-98.85568612525832,-99.21605384959821
2020-07-06,Doge,-99.20741149401573,-99.35313886192124
2020-07-05,Doge,-99.3479313131833,-99.35004252772646
2020-07-04,Doge,-99.34367317089414,-99.34807209153209
2020-07-03,Doge,-99.34253764865821,-99.34919805507172
2020-07-02,Doge,-99.3374277985965,-99.35060544395706
2020-07-01,Doge,-99.33998272362734,-99.35060544395706
2020-06-30,Doge,-99.34509250759346,-99.3517314074967
2020-06-29,Doge,-99.34651191038839,-99.34891656418682
2020-06-28,Doge,-99.34338929033515,-99.33793848521461
2020-06-27,Doge,-99.33203413407139,-99.33878295786933
2020-06-26,Doge,-99.33316965630732,-99.32583444270276
2020-06-25,Doge,-99.3155691938415,-99.32639742447257
2020-06-24,Doge,-99.32181450004356,-99.30106344144845
2020-06-23,Doge,-99.29654932858077,-99.30415984118244
2020-06-22,Doge,-99.29853649249365,-99.3061302773768
2020-06-21,Doge,-99.30052365640654,-99.30810064803195
2020-06-20,Doge,-99.3064850820496,-99.30838213891685
